province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,foundation_mud_bonded_bricks_stone,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,foundation_cement_bonded_bricks_stone,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,foundation_reinforced_cement_concrete_with_pillars,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,foundation_wooden_pillars,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_mud_bonded_bricks_stone,489
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_cement_bonded_bricks_stone,12
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_wood_planks,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_bamboo,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_unbaked_bricks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_galvanised_sheet,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_prefabricated_sheet,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,outer_wall_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_galvanised_sheet,498
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_reinforced_cement_concrete,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_thatch_straw,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_tile,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_stone_slate,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_wood_planks,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_mud,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,roof_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_mud,315
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_wooden_plank_bamboo,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_bricks_stone,141
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_ceramic_tile,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_cemented,46
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,housing,NA,floor_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,drinking water,NA,drinking_water_tap_piped_within_premises,247
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,drinking water,NA,drinking_water_tap_piped_outside_premises,241
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,3,drinking water,NA,drinking_water_tubewell_handpump,0
